Model,RMSE,Precision@K,Recall@K,K,Notes
User-CF (Pearson),1.0464869543210982,0.04360655737704918,0.06872103786555851,10,Neighbors=5
User-CF (Pearson),1.0298615108990101,0.023114754098360658,0.030764983437443418,10,Neighbors=10
User-CF (Pearson),1.00229862789546,0.01016393442622951,0.011757064159433249,10,Neighbors=20
User-CF (Pearson),0.9698935748536434,0.0027868852459016396,0.0023532315240819006,10,Neighbors=50
User-CF (Cosine),1.0487143296946022,0.04245901639344262,0.06639503652661975,10,Neighbors=5
User-CF (Cosine),1.0243033489815438,0.019344262295081967,0.030554150909167497,10,Neighbors=10
User-CF (Cosine),0.9903565832976726,0.008360655737704918,0.011217774535219443,10,Neighbors=20
User-CF (Cosine),0.9670474442742026,0.0027868852459016396,0.0032575033073655355,10,Neighbors=50
